Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Consumer_Area_Code,Subject,Recorded_Message_Or_Robocall, Area_Code, Prefix, Day_of_Week, Time
8003919055,2019-12-13 11:07:44,2019-12-13 10:57:00,Henrico,Virginia,804,"Calls pretending to be government, businesses, or family and friends",Y,800,391,4,10.95
7071017181,2019-12-13 11:07:48,2019-12-13 11:03:00,,Virginia,804,Other,Y,707,101,4,11.05
9495466541,2019-12-13 11:08:04,2019-12-12 15:51:00,arlington,Virginia,703,"Reducing your debt (credit cards, mortgage, student loans)",N,949,546,3,15.85
5406196412,2019-12-13 11:10:21,2019-12-13 11:07:00,,Virginia,540,Dropped call or no message,Y,540,619,4,11.12
5406071795,2019-12-13 11:11:22,2019-12-13 10:36:00,,Virginia,540,Dropped call or no message,Y,540,607,4,10.60
7573202816,2019-12-13 11:12:28,2019-10-15 00:00:00,,Virginia,757,No Subject Provided,N,757,320,1,0.00
7867892965,2019-12-13 11:13:25,2019-10-15 00:00:00,,Virginia,757,No Subject Provided,N,786,789,1,0.00
9364274648,2019-12-13 11:13:30,2019-12-13 10:50:00,Bristol,Virginia,276,"Calls pretending to be government, businesses, or family and friends",N,936,427,4,10.83
7037751524,2019-12-13 11:14:28,2019-10-15 00:00:00,,Virginia,757,No Subject Provided,N,703,775,1,0.00
7071353763,2019-12-13 11:14:37,2019-12-13 10:30:00,Henrico,Virginia,804,Other,Y,707,135,4,10.50
2024109924,2019-12-13 11:15:04,2019-10-15 00:00:00,,Virginia,757,No Subject Provided,N,202,410,1,0.00
8009033637,2019-12-13 11:15:32,2019-12-13 11:07:00,,Virginia,540,No Subject Provided,Y,800,903,4,11.12
3146824849,2019-12-13 11:15:33,2019-10-15 00:00:00,,Virginia,757,No Subject Provided,N,314,682,1,0.00
7037751525,2019-12-13 11:16:15,2019-10-15 00:00:00,,Virginia,757,No Subject Provided,N,703,775,1,0.00
2023010671,2019-12-13 11:17:46,2019-12-13 10:33:00,Manassas Park,Virginia,757,"Calls pretending to be government, businesses, or family and friends",N,202,301,4,10.55
4348363550,2019-12-13 11:18:25,2019-12-13 11:03:00,Danville,Virginia,434,Other,Y,434,836,4,11.05
6012286778,2019-12-13 11:18:28,2019-10-15 00:00:00,,Virginia,757,No Subject Provided,N,601,228,1,0.00
8007228121,2019-12-13 11:19:26,2019-12-12 11:12:00,Suffolk,Virginia,757,"Calls pretending to be government, businesses, or family and friends",Y,800,722,3,11.20
7037761524,2019-12-13 11:19:59,2019-10-15 00:00:00,,Virginia,757,No Subject Provided,N,703,776,1,0.00
2023010671,2019-12-13 11:20:23,2019-12-13 10:51:00,,Virginia,540,"Calls pretending to be government, businesses, or family and friends",Y,202,301,4,10.85
2402419450,2019-12-13 11:20:35,2019-12-13 10:59:00,Fredericksburg,Virginia,301,"Calls pretending to be government, businesses, or family and friends",Y,240,241,4,10.98
