Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Consumer_Area_Code,Subject,Recorded_Message_Or_Robocall
8006107219,2019-12-13 01:03:02,2019-12-10 15:01:00,,California,800,"Calls pretending to be government, businesses, or family and friends",Y
4842550134,2019-12-13 01:03:56,2019-11-22 11:51:00,los angeles,California,323,Medical  & prescriptions,Y
8021145744,2019-12-13 01:04:39,2019-12-05 09:30:00,Lincoln,Nebraska,402,No Subject Provided,Y
3364788545,2019-12-13 01:05:10,2019-12-12 18:08:00,,Louisiana,504,Medical  & prescriptions,Y
6013688161,2019-12-13 01:05:58,2019-12-08 09:00:00,los angeles,California,323,"Calls pretending to be government, businesses, or family and friends",Y
4022050085,2019-12-13 01:06:12,2019-12-05 10:11:00,Lincoln,Nebraska,402,No Subject Provided,Y
7064183877,2019-12-13 01:07:00,2019-12-12 16:37:00,,Georgia,770,No Subject Provided,Y
8173741484,2019-12-13 01:07:19,2019-12-10 14:03:00,los angeles,California,323,"Reducing your debt (credit cards, mortgage, student loans)",Y
7861949222,2019-12-13 01:08:54,2019-12-12 11:44:00,,Georgia,770,No Subject Provided,Y
4022050085,2019-12-13 01:09:24,2019-12-05 13:59:00,Lincoln,Nebraska,402,No Subject Provided,Y
9513092505,2019-12-13 01:10:40,2019-12-12 13:09:00,,California,951,Other,Y
4022595948,2019-12-13 01:11:03,2019-12-06 09:52:00,Lincoln,Nebraska,402,No Subject Provided,Y
8006698488,2019-12-13 01:12:25,2019-12-06 11:42:00,Lincoln,Nebraska,402,No Subject Provided,Y
9087524148,2019-12-13 01:13:21,2019-12-11 13:25:00,Lake Forest,California,714,"Calls pretending to be government, businesses, or family and friends",Y
2087269641,2019-12-13 01:14:32,2019-12-06 14:03:00,Lincoln,Nebraska,402,No Subject Provided,Y
3137071308,2019-12-13 01:15:49,2019-12-07 13:08:00,,Michigan,313,No Subject Provided,N
7602668948,2019-12-13 01:15:48,2019-12-11 17:38:00,Oceanside,California,760,No Subject Provided,Y
8443445470,2019-12-13 01:15:50,2019-12-12 00:03:00,Chandler,Arizona,480,"Calls pretending to be government, businesses, or family and friends",Y
4022595948,2019-12-13 01:16:20,2019-12-06 15:04:00,Lincoln,Nebraska,402,No Subject Provided,Y
6303377630,2019-12-13 01:17:14,2019-12-11 15:29:00,,Illinois,630,No Subject Provided,Y
4029630941,2019-12-13 01:17:34,2019-12-08 10:53:00,Lincoln,Nebraska,402,No Subject Provided,Y
8382013719,2019-12-13 01:17:43,2019-12-12 13:31:00,Oceanside,California,760,No Subject Provided,Y
